Region,Governer,Location,X,Y,Terrain,Flora,Bell Tower,Type,unmarked
South,Noore,House,424.4,528.8,,Mixed Forest,,,unmarked
South,DePleur,House of Chiffon,,,Midlands,Quercus,,,
North,,Ila's Roost,,,,,,,
North,Yuma,Jalendu Falls,,,,,,,
North,,Jalendu Overlook,,,,,,,
North,Yuma,Jalendu Temple,,,Mountainous,Larch,,,
South,Noore,Jhankri Ashram,,,Midlands,Mixed Forest,,Ashram,
South,Noore,Kalasa Ashram,270,495,Terai,Alder Forest,,Ashram,
North,,Kalesh,,,,,,,
South,DePleur,Kalinag Returned,,,Midlands,Quercus,,,
South,Noore,Kalinag the Seeker,221,547,Midlands,Mixed Forest,,Shrine,
South,DePleur,Kalinag's Descent,,,Midlands,Quercus,,,
South,Noore,Kalinag's Door,,,Midlands,Mixed Forest,,,
North,,Kalinag's Vantage,,,,,,,
South,Noore,Kalinag's Wisdom,,,Midlands,Mixed Forest,,,
South,Rebels,Kanan's Farm,,,Terai,Alder Forest,,,unmarked
North,Yuma,KEO Gold Storage,,,Mountainous,Coniferous,,Outpost,
North,Yuma,KEO Logging Camp,,,Mountainous,Coniferous,,Outpost,
North,,KEO Logistics,,,,,,,
North,Yuma,KEO Pradhana Mine,,,Mountainous,Larch,,Outpost,
North,,KEO Rija Mine,,,,,,,
North,Yuma,KEO Scrap Yard,,,Mountainous,Coniferous,,,
North,Yuma,KEO Svargiya Mine,,,Mountainous,Coniferous,,,
South,DePleur,Khazana Temple,,,Midlands,Mixed Forest,,,
South,DePleur,Kheta Manor,,,Midlands,Quercus,,Outpost,
South,Rebels,Khilana Bazaar,,,Terai,Alder Forest,,Outpost,
South,DePleur,Khumjung Hamlet,,,Midlands,Quercus,,,
South,Noore,King's Bridge,,,Midlands,Mixed Forest,476 683,,
North,Yuma,Krolinga Sahida Shrine,,,,,,,
North,,Kyra Ki Sansa,,,,,,,
South,DePleur,Kyra Tea Factory,,,Midlands,Quercus,,,
South,DePleur,Kyra Tea Farm,,,Midlands,Quercus,,,
South,DePleur,Kyra Tea Storage,,,Midlands,Quercus,,,
South,DePleur,Kyra Tea Terraces,,,Midlands,Quercus,,Outpost,
South,DePleur,Kyra Tea Weigh Station,,,Midlands,Quercus,,Outpost,
South,Noore,Kyra's Flower,,,Midlands,Mixed Forest,,,
South,Rebels,Kyra's Guidance,,,Terai,Alder Forest,,,
North,,Kyra's Humility,,,,,,,
South,DePleur,Kyra's Meditation,,,Midlands,Quercus,,,
South,Noore,Kyra's Nadi,,,Midlands,Mixed Forest,,,
South,Noore,Kyra's Pilgrimage,478,547,Midlands,Mixed Forest,,,
South,Rebels,Kyra's Refuge,,,Terai,Alder Forest,,,
South,DePleur,Kyra's Respite,,,Midlands,Quercus,,,
South,Noore,Kyra's Retreat,,,Midlands,Mixed Forest,,,
South,DePleur,Kyra's Shade,,,Midlands,Quercus,,,
North,,Kyra's Shrine,,,,,,,
South,DePleur,Kyra's Slumber,,,Midlands,Quercus,,,
North,,Kyra's Solitude,,,,,,,
South,DePleur,Kyra's Tranquility,,,Midlands,Quercus,,,
South,Noore,Kyrat Intl. Airport,,,Midlands,Mixed Forest,,,
North,,Lagoon of Tears,,,,,,,
North,,Lake Visalakhutta,,,,,,,
South,Noore,Lakeside Pig Farm,436,578,Midlands,Mixed Forest,,,unmarked
South,DePleur,Lakeside Sherpa Camp,,,Midlands,Quercus,,,
North,Pagan Min,Lhumtse Barracks,,,Himalayan,Sedge Meadow,,Outpost,
North,,Lieutenant's Rest,,,,,,,
North,,Ma'untena Ghari Shrine,,,,,,,
North,,Machali Village,,,,,,,
South,Noore,Machine Gun Nest,448.5,641.9,,Mixed Forest,,,
South,Noore,Machine Gun Nest,475,641.5,,Mixed Forest,,,
South,Noore,Machine Gun Nest,469.5,636.7,,Mixed Forest,,,
South,Noore,Machine Gun Nest,463.3,588.5,,Mixed Forest,,,
South,Noore,Machine Gun Nest,378.1,550,,Mixed Forest,,,
South,Noore,Malla Bridge,,,Midlands,Mixed Forest,,,
South,Noore,Mani Wheel,446,649,Midlands,Mixed Forest,,,unmarked
North,Yuma,Mansa Market,,,,,,,
South,Noore,Market,464,623,Midlands,Mixed Forest,,,unmarked
South,Noore,Mechanic’s Garage,381,623,Midlands,Mixed Forest,,,unmarked
North,Pagan Min,Medicinal Poacher,,,,Sedge Meadow,,,
South,Noore,Mehteh Air Roadsign,253,582,Midlands,Mixed Forest,,,unmarked
North,,Ministry of Public Affairs,,,,,,,
South,Noore,Nadi Gardiyana,,,Midlands,Mixed Forest,,,
North,,Nadi Shrine,,,,,,,
North,Pagan Min,Namboche Monastery,,,Himalayan,Sedge Meadow,,Outpost,
South,Noore,Ocean Breeze Lab,399,576,Midlands,Mixed Forest,,,
South,Noore,Offering to Yakshini,393.8,539.8,,Mixed Forest,,,unmarked
South,Rebels,Old Isha's House,,,Terai,Alder Forest,,,
North,,Old Kade House,,,,,,,
South,DePleur,Oojam's Hut,,,Midlands,Quercus,,,
South,Noore,Open Hearts Clinic,,,Midlands,Mixed Forest,,Outpost,
North,,Pathika Shrine,,,,,,,
North,Yuma,Pokhari Ghara,,,Mountainous,Larch,,Outpost,
South,Rebels,Prabhakar's Farm,,,Terai,Alder Forest,,,
South,DePleur,Prabin's House,,,Midlands,Quercus,,,
South,Noore,Pranijagat School,,,Midlands,Mixed Forest,,Outpost,
South,Noore,Propaganda Center,393,600,Midlands,Mixed Forest,,Propaganda Center,unmarked
South,DePleur,Propaganda Center 426/420,,,Midlands,Quercus,,Propaganda Center,unmarked
North,Yuma,Propaganda Center 591/756,,,,,,Propaganda Center,
South,DePleur,Pulley Cart,,,Midlands,Quercus,,,
North,Pagan Min,R.A. Confiscation Vault,,,,Sedge Meadow,,,
South,Noore,R.A. Heroin Lab,411,646,Midlands,Mixed Forest,,,
South,DePleur,Rai Family House,,,Midlands,Quercus,,,
South,Noore,Raj Pandhi Brewery,,,Midlands,Mixed Forest,,,
North,Pagan Min,Rajgad Gulag,,,Himalayan,Sedge Meadow,,Fortress,
North,Pagan Min,Raka Ankita Wall,,,,Sedge Meadow,,,
South,Noore,Raksi Still,,,Midlands,Mixed Forest,,,
South,Noore,Rato Lagoon,,,Midlands,Mixed Forest,476 683,,
North,Yuma,Ratu Gadhi,,,Mountainous,Larch,,Fortress,
South,Noore,Roadside Shed,469.6,586.3,,Mixed Forest,,,unmarked
South,Noore,Rochan Brick Co. Offices,501.4,603.3,Midlands,Mixed Forest,,,
South,Noore,Rochan Brick Co. Payroll,,,Midlands,Mixed Forest,476 683,,
South,DePleur,Rochan Brick Co. Shipping,,,Midlands,Quercus,,Outpost,
South,Noore,Rochan Brick Co. Storage,,,Midlands,Mixed Forest,,Outpost,
South,Noore,Rochan Brick Factory,327.5,531.5,Midlands,Mixed Forest,,,
South,Noore,Rochan Delivery Wreck,,,Midlands,Mixed Forest,,,
North,Pagan Min,Royal Fortress,,,Himalayan,Sedge Meadow,,,
North,Yuma,Royal Guard Kennels,,,Mountainous,Larch,,Outpost,
South,Noore,Royal Munitions Depot,,,Midlands,Mixed Forest,,,
North,Pagan Min,Royal Palace,,,Himalayan,Sedge Meadow,,,
South,Noore,Royal Raksi Brewery,,,Midlands,Mixed Forest,476 683,Outpost,
North,,Royal Supply Depot,,,,,,,
North,,Royal Vault III,,,,,,,
North,Yuma,Royal Vault IX,,,,Coniferous,,,
South,Noore,Rukha Sikhara Summit,,,Terai,Alder Forest,,Summit,
North,,Sadhu Tri Cave,,,,,,,
North,Pagan Min,Sahi Jile Checkpoint,,,Himalayan,Sedge Meadow,,Outpost,
South,Rebels,Samapana Falls,,,Terai,Alder Forest,,,
North,,Sapha Pond,,,,,,,
South,DePleur,Sarbajit's Boat,,,Midlands,Quercus,,,
South,DePleur,Sarbajit's Raksi Still,,,Midlands,Quercus,,,
South,DePleur,Satish's Sad Room,,,Midlands,Quercus,,,
North,,Sealed KEO Mine,,,,,,,
South,DePleur,Seven Treasures Ashram,,,Midlands,Quercus,,Outpost,
South,Noore,Shanath,,,Midlands,Mixed Forest,,,
South,Noore,Shanath Breeders,,,Midlands,Mixed Forest,,Outpost,
South,Noore,Shanath Gantry,460,589,,Mixed Forest,,,unmarked
South,Noore,Shanath Hunters,,,Midlands,Mixed Forest,,,
South,DePleur,Shanath Poachers,,,Midlands,Quercus,,,
South,Noore,Shanath Proving Ground,,,Midlands,Mixed Forest,476 683,,
South,Noore,Shanath Training Ground,,,Midlands,Mixed Forest,,Outpost,
South,Noore,Shanath Trappers,,,Midlands,Mixed Forest,,,
South,Noore,Shed,379.4,547.8,,Mixed Forest,,,unmarked
North,,Sherpa Barpha Camp,,,,,,,
South,Noore,Sherpa Forest Camp,,,Midlands,Mixed Forest,,,
South,Noore,Sherpa Plateau Camp,,,Midlands,Mixed Forest,,,
South,Noore,Sherpa Scripture Camp,,,Midlands,Mixed Forest,,,
South,Noore,Sherpa Yak Enclosure,,,Terai,Alder Forest,,,
North,Pagan Min,Shikharpur,,,Himalayan,Larch,,Outpost,
North,,Shining Minds Academy,,,,,,,
North,Yuma,Shining Minds Reformatory,,,,Coniferous,,,
North,,Shining Minds Seminary,,,,,,,
South,Noore,Shrine,346,555,Midlands,Mixed Forest,,,unmarked
South,Noore,Shrine,376.6,524.3,Midlands,Mixed Forest,,,unmarked
North,,Sivira Sherpa Camp,,,,,,,
North,Pagan Min,Ska'i Cave,,,,Sedge Meadow,,,
North,,Sky Burial,,,,,,,
South,Noore,Sky Tiger’s Den,421,709,Midlands,Mixed Forest,476 683,,unmarked
South,DePleur,Smuggler's Portage,,,Midlands,Quercus,,,
North,Yuma,South Jalendu Checkpoint,,,,,,,
North,Pagan Min,Stone Kapa Refuge,,,,Sedge Meadow,,,
South,Noore,Sunny & Prem's Storage,,,Midlands,Mixed Forest,,,
South,Noore,Sunny's End,406,632,Midlands,Mixed Forest,,,
South,DePleur,Surefoot Bridge,,,Midlands,Quercus,,,
North,,Svargiya Takataki Camp,,,,,,,
North,,Tarun Matara's Sleep,,,,,,,
South,Noore,The Crazy Cock Bar,,,Midlands,Mixed Forest,,,
North,,The Goat's Lair,,,,,,,
South,DePleur,The Partisans' Clinic,,,Midlands,Quercus,,,
North,Pagan Min,The Powder Keg Distillery,,,,Sedge Meadow,,,
South,DePleur,The Sleeping Saints,,,Midlands,Quercus,,,
North,Yuma,Thindara Mine,,,,Larch,,,
South,DePleur,Tiger Den,,,Midlands,Quercus,,,
South,DePleur,Tirtha,,,Midlands,Quercus,,Town,
North,,Trethewey Homestead,,,,,,,
North,,Trethewey's Cabin,,,,,,,
South,DePleur,Udayagiri Cave,,,Midlands,Quercus,,,
South,Noore,Unknown,379.5,531.3,Midlands,Mixed Forest,,,unmarked
North,Yuma,Utkarsh,,,Mountainous,Coniferous,,Town,
South,DePleur,Varshakot,,,Midlands,Quercus,,Fortress,
South,DePleur,Vibhat's Auto Repair,,,Midlands,Quercus,,,
North,,Vidnava's Tent,,,,,,,
North,,Visala Shrine,,,,,,,
South,DePleur,Watery Grave,,,Midlands,Quercus,,,
South,Noore,Windowless Shack,492,535,Midlands,Mixed Forest,,,unmarked
South,Noore,Wolf Skinner’s House,393,636,Midlands,Mixed Forest,,,unmarked
South,Noore,Wood and Rope Bridge,448,639.8,,Mixed Forest,,,unmarked
South,Noore,Wood Bridge,474.2,638.6,,Mixed Forest,,,unmarked
South,Noore,Wood Plank Bridge,466.8,639.1,,Mixed Forest,,,unmarked
South,Noore,Yakshini's Bondage,,,Midlands,Mixed Forest,476 683,,
South,Noore,Yakshini's Ecstacy,,,Midlands,Mixed Forest,,,
South,Noore,Yakshini's Flesh,,,Midlands,Mixed Forest,,,
South,Noore,Yakshini's Pleasure,315,610,Midlands,Mixed Forest,,,
South,Noore,Yakshini's Sin,501,585,Midlands,Mixed Forest,,,
North,,Yalung's Belly,,,,,,,
South,DePleur,Yalung's Eye,,,Midlands,Quercus,,,
South,Noore,Yalung's Heart,361.9,522.4,Midlands,Mixed Forest,,,
South,DePleur,Yalung's Jaw,,,Midlands,Quercus,,,
South,Rebels,Yalung's Maw,,,Terai,Alder Forest,,,
South,Noore,Yalung's Mind,,,Midlands,Mixed Forest,,,
South,Noore,Yalung's Pantha,,,Midlands,Mixed Forest,,,
South,DePleur,Yalung's Rot,,,Midlands,Quercus,,,
South,Noore,Yalung's Seed,,,Midlands,Mixed Forest,,,
South,Rebels,Yalung's Skull,,,Terai,Alder Forest,,,
South,Noore,Yalung's Soul,,,Midlands,Mixed Forest,,,
South,DePleur,Yalung's Spine,,,Midlands,Quercus,,,
South,Noore,Yalung's Stomach,,,Midlands,Mixed Forest,,,
South,DePleur,Yalung's Tears,,,Midlands,Quercus,,,
South,DePleur,Yalung's Teeth,,,Midlands,Quercus,,,
North,,Yathesta Fields,,,,,,,
North,,Yugala Rukha Summit,,,,,,Summit,
